,Source,Target
0,Chau Van Kham,Anthony Albanese
1,Julianne Smith,America Atlantic
2,Julianne Smith,America Pacific
3,Julianne Smith,Jens Stoltenberg
4,Julianne Smith,Joe Biden
5,Julianne Smith,Mark Kennedy
6,Julianne Smith,Anthony Albanese
7,Julianne Smith,Fumio Kishida
8,Julianne Smith,Chris Hipkins
9,Julianne Smith,Yoon Suk Yeol
10,Julianne Smith,Wang Wenbin
11,Julianne Smith,Celia Mendoza
12,Julianne Smith,Jorge Agobian
13,America Atlantic,America Pacific
14,America Atlantic,Jens Stoltenberg
15,America Atlantic,Joe Biden
16,America Atlantic,Mark Kennedy
17,America Atlantic,Anthony Albanese
18,America Atlantic,Fumio Kishida
19,America Atlantic,Chris Hipkins
20,America Atlantic,Yoon Suk Yeol
21,America Atlantic,Wang Wenbin
22,America Atlantic,Celia Mendoza
23,America Atlantic,Jorge Agobian
24,America Pacific,Jens Stoltenberg
25,America Pacific,Joe Biden
26,America Pacific,Mark Kennedy
27,America Pacific,Anthony Albanese
28,America Pacific,Fumio Kishida
29,America Pacific,Chris Hipkins
30,America Pacific,Yoon Suk Yeol
31,America Pacific,Wang Wenbin
32,America Pacific,Celia Mendoza
33,America Pacific,Jorge Agobian
34,Jens Stoltenberg,Joe Biden
35,Jens Stoltenberg,Mark Kennedy
36,Jens Stoltenberg,Anthony Albanese
37,Jens Stoltenberg,Fumio Kishida
38,Jens Stoltenberg,Chris Hipkins
39,Jens Stoltenberg,Yoon Suk Yeol
40,Jens Stoltenberg,Wang Wenbin
41,Jens Stoltenberg,Celia Mendoza
42,Jens Stoltenberg,Jorge Agobian
43,Joe Biden,Mark Kennedy
44,Joe Biden,Anthony Albanese
45,Joe Biden,Fumio Kishida
46,Joe Biden,Chris Hipkins
47,Joe Biden,Yoon Suk Yeol
48,Joe Biden,Wang Wenbin
49,Joe Biden,Celia Mendoza
50,Joe Biden,Jorge Agobian
51,Mark Kennedy,Anthony Albanese
52,Mark Kennedy,Fumio Kishida
53,Mark Kennedy,Chris Hipkins
54,Mark Kennedy,Yoon Suk Yeol
55,Mark Kennedy,Wang Wenbin
56,Mark Kennedy,Celia Mendoza
57,Mark Kennedy,Jorge Agobian
58,Anthony Albanese,Fumio Kishida
59,Anthony Albanese,Chris Hipkins
60,Anthony Albanese,Yoon Suk Yeol
61,Anthony Albanese,Wang Wenbin
62,Anthony Albanese,Celia Mendoza
63,Anthony Albanese,Jorge Agobian
64,Fumio Kishida,Chris Hipkins
65,Fumio Kishida,Yoon Suk Yeol
66,Fumio Kishida,Wang Wenbin
67,Fumio Kishida,Celia Mendoza
68,Fumio Kishida,Jorge Agobian
69,Chris Hipkins,Yoon Suk Yeol
70,Chris Hipkins,Wang Wenbin
71,Chris Hipkins,Celia Mendoza
72,Chris Hipkins,Jorge Agobian
73,Yoon Suk Yeol,Wang Wenbin
74,Yoon Suk Yeol,Celia Mendoza
75,Yoon Suk Yeol,Jorge Agobian
76,Wang Wenbin,Celia Mendoza
77,Wang Wenbin,Jorge Agobian
78,Celia Mendoza,Jorge Agobian
